tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,p1_id,p1_seed,p1_entry,p1_name,p1_hand,p1_ht,p1_ioc,p1_age,p2_id,p2_seed,p2_entry,p2_name,p2_hand,p2_ht,p2_ioc,p2_age,score,best_of,round,minutes,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1stWon,p1_2ndWon,p1_SvGms,p1_bpSaved,p1_bpFaced,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1stWon,p2_2ndWon,p2_SvGms,p2_bpSaved,p2_bpFaced,p1_rank,p1_rank_points,p2_rank,p2_rank_points,RESULT
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,208659,0.0,0.0,0.0,0.0,203.0,0.0,21.733744010951405,104792,0.0,0.0,0.0,0.0,193.0,0.0,38.58316221765914,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1651,41,1280,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,134868,0.0,0.0,0.0,0.0,188.0,0.0,28.750171115674195,128034,0.0,0.0,0.0,0.0,196.0,0.0,28.136892539356605,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1280,17,2555,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,200267,0.0,0.0,0.0,0.0,185.0,0.0,25.829568788501028,207680,0.0,0.0,0.0,0.0,183.0,0.0,24.295687885010267,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,948,73,758,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,208937,0.0,0.0,0.0,0.0,191.0,0.0,24.197125256673512,106421,0.0,0.0,0.0,0.0,198.0,0.0,29.136892539356605,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418,109,5,5030,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207681,0.0,0.0,0.0,0.0,178.0,0.0,24.487337440109513,127157,0.0,0.0,0.0,0.0,188.0,0.0,26.553045859000683,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,662,101,582,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207518,0.0,0.0,0.0,0.0,185.0,0.0,23.082135523613964,208286,0.0,0.0,0.0,0.0,185.0,0.0,24.10677618069815,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2600,39,1305,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,206909,0.0,0.0,0.0,0.0,188.0,0.0,23.66255989048597,210097,0.0,0.0,0.0,0.0,193.0,0.0,22.479123887748116,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1355,20,2280,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,132283,0.0,0.0,0.0,0.0,191.0,0.0,29.892539356605067,104527,0.0,0.0,0.0,0.0,183.0,0.0,40.01368925393566,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,1026,156,371,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207729,0.0,0.0,0.0,0.0,188.0,0.0,23.947296372347708,105948,0.0,0.0,0.0,0.0,180.0,0.0,33.06570841889117,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136,448,96,617,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,106283,0.0,0.0,0.0,0.0,188.0,0.0,31.21902806297057,208014,0.0,0.0,0.0,0.0,178.0,0.0,24.10403832991102,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,396,72,759,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207925,0.0,0.0,0.0,0.0,183.0,0.0,22.906228610540726,144869,0.0,0.0,0.0,0.0,196.0,0.0,25.706365503080082,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1512,38,1315,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,106218,0.0,0.0,0.0,0.0,180.0,0.0,31.689938398357288,105870,0.0,0.0,0.0,0.0,193.0,0.0,33.38329911019849,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,1175,95,618,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,133430,0.0,0.0,0.0,0.0,185.0,0.0,25.9637234770705,105138,0.0,0.0,0.0,0.0,183.0,0.0,36.96646132785763,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,1006,53,1067,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,200615,0.0,0.0,0.0,0.0,196.0,0.0,25.657084188911703,144895,0.0,0.0,0.0,0.0,180.0,0.0,25.95277207392197,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1840,69,772,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,200282,0.0,0.0,0.0,0.0,183.0,0.0,26.12046543463381,122298,0.0,0.0,0.0,0.0,191.0,0.0,29.49281314168378,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3535,84,672,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,111794,0.0,0.0,0.0,0.0,180.0,0.0,29.216290212183434,105807,0.0,0.0,0.0,0.0,188.0,0.0,33.72279260780287,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,491,182,317,0
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,211663,0.0,0.0,0.0,0.0,185.0,0.0,18.61327857631759,126094,0.0,0.0,0.0,0.0,188.0,0.0,27.449007529089666,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,520,9,3520,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207830,0.0,0.0,0.0,0.0,183.0,0.0,24.468172484599588,124187,0.0,0.0,0.0,0.0,211.0,0.0,27.594113620807665,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1805,170,341,1
AUSTRALIAN_OPEN_2025,0.0,Hard,128,0.0,0.0,0.0,207989,0.0,0.0,0.0,0.0,183.0,0.0,21.908966461327857,106415,0.0,0.0,0.0,0.0,170.0,0.0,29.511978097193705,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7010,65,807,1
